,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
0,Slovakia,426,26,1,0,5,2
1,Haiti,16,0,0,0,1,0
2,Uganda,45,1,0,0,0,0
3,Kazakhstan,435,55,3,0,27,1
4,Jamaica,47,3,3,0,2,0
5,South Georgia and the South Sandwich Islands,0,0,0,0,0,0
6,Liberia,6,0,0,0,0,0
7,Bangladesh,56,2,6,0,25,0
8,France,59929,2180,5398,1355,12548,1495
9,Nauru,0,0,0,0,0,0
10,"Tanzania, United Republic of",20,0,1,0,2,1
11,Pitcairn,0,0,0,0,0,0
12,Papua New Guinea,1,0,0,0,0,0
13,Tunisia,455,32,14,2,5,0
14,Zambia,39,3,1,1,0,0
15,Guinea,52,22,0,0,0,0
16,Mozambique,10,0,0,0,0,0
17,Chile,3404,373,18,2,335,101
18,French Polynesia,0,0,0,0,0,0
19,Guadeloupe,0,0,0,0,0,0
20,Western Sahara,0,0,0,0,0,0
21,Ireland,3849,402,98,13,5,0
22,Chad,8,1,0,0,0,0
23,Burundi,3,1,0,0,0,0
24,South Africa,1462,82,5,0,50,0
25,Guernsey,0,0,0,0,0,0
26,Cuba,233,21,6,0,13,1
27,Denmark,3573,283,123,19,1172,201
28,Eritrea,22,7,0,0,0,0
29,Thailand,1875,104,15,3,505,0
30,Saudi Arabia,1885,165,21,5,328,64
31,Botswana,4,0,1,0,0,0
32,Malawi,3,3,0,0,0,0
33,Jersey,0,0,0,0,0,0
34,Azerbaijan,400,41,5,0,26,0
35,Italy,115242,4668,13915,760,18278,1431
36,United Kingdom,34173,4308,2926,569,192,13
37,Saint Lucia,13,0,0,0,1,0
38,United States of America,479184,59858,11033,2206,9001,527
39,Suriname,10,0,0,0,0,0
40,Montserrat,0,0,0,0,0,0
41,Argentina,1133,79,36,8,256,8
42,Guyana,19,0,4,2,0,0
43,Australia,5116,254,24,4,520,98
44,Burkina Faso,288,6,16,0,50,4
45,Cape Verde,6,0,1,0,0,0
46,Isle of Man,0,0,0,0,0,0
47,Libya,11,1,1,1,0,0
48,Bouvet Island,0,0,0,0,0,0
49,Barbados,3,0,0,0,0,0
50,Togo,39,3,2,0,17,7
51,Cameroon,306,73,7,1,10,0
52,El Salvador,41,9,2,1,0,0
53,Palestinian Territory,161,27,1,0,18,0
54,ALA Aland Islands,0,0,0,0,0,0
55,Antarctica,0,0,0,0,0,0
56,Pakistan,2421,303,34,7,125,31
57,Mauritius,169,8,7,1,0,0
58,Kiribati,0,0,0,0,0,0
59,New Caledonia,0,0,0,0,0,0
60,Congo (Brazzaville),134,25,13,4,3,0
61,Iraq,772,44,54,2,202,20
62,Fiji,7,2,0,0,0,0
63,Latvia,458,12,0,0,31,30
64,Nepal,6,1,0,0,1,0
65,Jordan,299,21,5,0,45,9
66,Bhutan,5,1,0,0,1,1
67,Canada,11284,1724,138,30,1735,411
68,Réunion,0,0,0,0,0,0
69,"Hong Kong, SAR China",0,0,0,0,0,0
70,Guatemala,47,8,1,0,12,0
71,Puerto Rico,0,0,0,0,0,0
72,Bahamas,24,3,1,0,1,0
73,Benin,13,0,0,0,1,0
74,Aruba,0,0,0,0,0,0
75,San Marino,245,9,30,4,21,8
76,Germany,84794,6922,1107,187,22440,3740
77,Sierra Leone,2,0,0,0,0,0
78,Ukraine,897,103,22,2,19,6
79,Luxembourg,2487,168,30,1,80,0
80,Seychelles,10,0,0,0,0,0
81,Angola,8,0,2,0,1,0
82,Philippines,2633,322,107,11,51,1
83,South Sudan,0,0,0,0,0,0
84,Uzbekistan,205,24,2,0,25,13
85,Marshall Islands,0,0,0,0,0,0
86,Korea (North),0,0,0,0,0,0
87,Morocco,708,54,44,5,31,2
88,Tajikistan,0,0,0,0,0,0
89,French Guiana,0,0,0,0,0,0
90,Bahrain,643,74,4,0,381,44
91,Portugal,9034,783,209,22,68,25
92,Wallis and Futuna Islands,0,0,0,0,0,0
93,Dominican Republic,1380,96,60,3,16,7
94,Saint Vincent and Grenadines,2,1,0,0,1,0
95,Rwanda,84,2,0,0,0,0
96,Israel,6857,765,36,10,338,97
97,Moldova,505,82,6,1,23,0
98,Niger,98,24,5,0,0,0
99,Qatar,949,114,3,1,72,1
100,Namibia,14,0,0,0,3,1
101,Russian Federation,3548,771,30,6,235,45
102,Syrian Arab Republic (Syria),16,6,2,0,0,0
103,Kuwait,342,25,0,0,81,1
104,Swaziland,9,0,0,0,0,0
105,Nigeria,184,10,2,0,20,11
106,Sao Tome and Principe,0,0,0,0,0,0
107,Venezuela (Bolivarian Republic),146,3,5,2,43,2
108,Mongolia,14,0,0,0,2,0
109,Singapore,1049,49,4,1,266,21
110,Cambodia,110,1,0,0,34,9
111,Ecuador,3163,415,120,27,65,7
112,"Macao, SAR China",0,0,0,0,0,0
113,Norfolk Island,0,0,0,0,0,0
114,Falkland Islands (Malvinas),0,0,0,0,0,0
115,Kyrgyzstan,116,5,0,0,5,2
116,Ghana,204,9,5,0,31,0
117,Yemen,0,0,0,0,0,0
118,Montenegro,144,21,2,0,0,0
119,Faroe Islands,0,0,0,0,0,0
120,Andorra,428,38,15,1,10,0
121,Iceland,1319,99,4,2,284,59
122,Ethiopia,29,0,0,0,3,1
123,Saint-Martin (French part),0,0,0,0,0,0
124,Côte d'Ivoire,194,4,1,0,15,6
125,Svalbard and Jan Mayen Islands,0,0,0,0,0,0
126,Zimbabwe,9,1,1,0,0,0
127,Guinea-Bissau,9,0,0,0,0,0
128,Hungary,585,60,21,1,42,2
129,Central African Republic,3,0,0,0,0,0
